StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,BDD_Score
2/25/2022 14:52,2/25/2022 14:55,IP Address,100,143,TRUE,2/25/2022 14:55,R_ut9sAAxzWRre2Ix,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 10 times or more a day,Slightly unattractive,Slightly distressing,Avoid about ¼ of the time,Slightly preoccupied,Slightly,Not at all,Slightly,Slightly,"Instagram,Snapchat,Pinterest,YouTube",3 - 10 hrs/day,Instagram,"Celebrities,Body health/Fitness, Beauty,Music, songs, movies,Nutrition, food, cooking",Yes,No,NA,21-24,Senior,Female,she/her/hers,12
2/28/2022 8:55,2/28/2022 8:58,IP Address,100,181,TRUE,2/28/2022 8:58,R_QnWw2kdUhYe97RD,anonymous,EN,0.899999976,I am over 18 years old and I consent to participating in this research project,About 5 times or more a day,Markedly unattractive,Slightly distressing,Avoid about ¼ of the time,Not at all preoccupied,Not at all,Not at all,Slightly,Moderately,"Instagram,Facebook,Snapchat,Pinterest,TikTok",3 - 10 hrs/day,"Facebook,TikTok","Body health/Fitness, Beauty,Music, songs, movies,Nutrition, food, cooking,Video games ,Shopping,Sex and sex education",No,Yes,"Mockery,Insult or abuse,Bullying",21-24,Junior,Female,She/her,18
2/28/2022 10:02,2/28/2022 10:09,IP Address,100,419,TRUE,2/28/2022 10:09,R_27wyVwuFYbE3IsL,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 40 times or more a day,Markedly unattractive,Extremely distressing,Avoid about half of the time,Very preoccupied,Extremely,Not at all,Moderately,Mostly,"Instagram,Snapchat,YouTube",3 - 10 hrs/day,YouTube,"Music, songs, movies,Video games ,Technology and smartphones",No,No,NA,18-20,Junior,Male,He/Him/His,54
2/28/2022 10:44,2/28/2022 10:46,IP Address,100,131,TRUE,2/28/2022 10:46,R_2c6BYJzB9WDQMBV,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 10 times or more a day,Slightly unattractive,Markedly distressing,Avoid about ¼ of the time,Moderately preoccupied,Slightly,Not at all,Slightly,Moderately,"Instagram,Snapchat,YouTube,TikTok",3 - 10 hrs/day,TikTok,"Body health/Fitness, Beauty,Music, songs, movies,Nutrition, food, cooking,Video games ,Sports news and competition",Yes,No,NA,21-24,Senior,Male,He/Him,50
2/28/2022 10:44,2/28/2022 10:48,IP Address,100,252,TRUE,2/28/2022 10:48,R_1excREyWwmK74Pv,anonymous,EN,0.899999976,I am over 18 years old and I consent to participating in this research project,About 10 times or more a day,Slightly unattractive,Slightly distressing,Avoid about ¼ of the time,Moderately preoccupied,Markedly,Slightly,Slightly,Slightly,"Instagram,Snapchat,TikTok",3 - 10 hrs/day,"Snapchat,TikTok","Music, songs, movies,Video games ,Shopping,Technology and smartphones,Politics,Art",No,Yes,Incitement to do immoral acts,18-20,Junior,Not listed,she/her/he/him,26
2/28/2022 10:59,2/28/2022 11:03,IP Address,100,259,TRUE,2/28/2022 11:03,R_1EX4qgyh3KbWQmm,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 20 times or more a day,Slightly unattractive,Slightly distressing,Avoid about ¼ of the time,Moderately preoccupied,Slightly,Not at all,Slightly,Slightly,YouTube,<3 hrs/day,YouTube,"Body health/Fitness, Beauty,Music, songs, movies,Politics,Art",No,No,NA,25+,Other,Male,"he, him, his",26
2/28/2022 11:03,2/28/2022 11:07,IP Address,100,216,TRUE,2/28/2022 11:07,R_2YA4BRrASa8Rp2K,anonymous,EN,0.899999976,I am over 18 years old and I consent to participating in this research project,About 5 times or more a day,Slightly unattractive,Moderately distressing,Avoid about ¼ of the time,Moderately preoccupied,Markedly,Moderately,Moderately,Slightly,"Instagram,Facebook,Snapchat,Pinterest,YouTube,TikTok",<3 hrs/day,Instagram,"Music, songs, movies,Nutrition, food, cooking,Technology and smartphones,Travel and tourism ,Business and economy ,Art",No,No,NA,25+,Senior,Female,"She,her",22
2/28/2022 12:07,2/28/2022 12:09,IP Address,100,148,TRUE,2/28/2022 12:09,R_28Zf3JhHoEdLlJS,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 40 times or more a day,Markedly unattractive,Extremely distressing,Avoid about half of the time,Very preoccupied,Moderately,Moderately,Markedly,Moderately,"Instagram,Snapchat,Pinterest,TikTok",10 - 20 hrs/day,"Instagram,Snapchat,TikTok","Celebrities,Fashion related,Body health/Fitness, Beauty,Music, songs, movies,Nutrition, food, cooking,Politics",Yes,Yes,"Mockery,Insult or abuse,Bullying,Threats or defamation,Incitement to do immoral acts ,Others",18-20,Freshman,Female,she/her/hers,30
2/28/2022 13:17,2/28/2022 13:20,IP Address,100,193,TRUE,2/28/2022 13:20,R_2c6NLzE2zePidfA,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 10 times or more a day,Moderately unattractive,Moderately distressing,Never avoid,Slightly preoccupied,Slightly,Not at all,Not at all,Not at all,"Instagram,Snapchat",3 - 10 hrs/day,Instagram,"Sports news and competition,Technology and smartphones,Travel and tourism",No,No,NA,21-24,Junior,Male,Mr,50
2/28/2022 13:47,2/28/2022 13:50,IP Address,100,202,TRUE,2/28/2022 13:50,R_3g1IbrObqNKXzlg,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 5 times or more a day,Markedly unattractive,Moderately distressing,Avoid about ¼ of the time,Moderately preoccupied,Extremely,Not at all,Moderately,Not at all,"Instagram,Snapchat,YouTube,TikTok",3 - 10 hrs/day,"Instagram,YouTube","Music, songs, movies,Video games ,Sports news and competition,Politics",No,No,NA,21-24,Senior,Male,He/him,16
2/28/2022 13:48,2/28/2022 13:53,IP Address,100,281,TRUE,2/28/2022 13:53,R_2Tw0D59DKMEKTZh,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 20 times or more a day,Markedly unattractive,Slightly distressing,Avoid about ¼ of the time,Slightly preoccupied,Markedly,Not at all,Moderately,Slightly,"Instagram,Snapchat,YouTube",3 - 10 hrs/day,Snapchat,"Body health/Fitness, Beauty,Music, songs, movies,Video games ,Sports news and competition,Technology and smartphones,Business and economy ,Art",Yes,No,NA,21-24,Senior,Male,He/Him/His,30
2/28/2022 14:06,2/28/2022 14:10,IP Address,100,222,TRUE,2/28/2022 14:10,R_rl3ZoUjIrSdpHEd,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 10 times or more a day,Slightly unattractive,Slightly distressing,Never avoid,Slightly preoccupied,Not at all,Not at all,Slightly,Not at all,"Facebook,Pinterest",<3 hrs/day,"Facebook,Pinterest","Nutrition, food, cooking,Politics,Sex and sex education",No,No,NA,25+,Junior,Female,she/her/hers,30
2/28/2022 15:55,2/28/2022 15:59,IP Address,100,207,TRUE,2/28/2022 15:59,R_vJmYdZ7nEOQPVM5,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 10 times or more a day,Moderately unattractive,Slightly distressing,Never avoid,Slightly preoccupied,Moderately,Not at all,Slightly,Slightly,"Instagram,Facebook,Snapchat,Pinterest,YouTube,TikTok",3 - 10 hrs/day,TikTok,"Body health/Fitness, Beauty,Music, songs, movies,Nutrition, food, cooking,Shopping,Travel and tourism ,Business and economy ,Politics",Yes,No,NA,21-24,Senior,Female,She/her,12
2/28/2022 20:09,2/28/2022 20:13,IP Address,100,236,TRUE,2/28/2022 20:13,R_1EZ0Moke1Z4KfS3,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 5 times or more a day,Moderately unattractive,Moderately distressing,Avoid about ¼ of the time,Slightly preoccupied,Moderately,Not at all,Markedly,Slightly,"Instagram,Facebook,Snapchat,TikTok",<3 hrs/day,TikTok,"Body health/Fitness, Beauty,Music, songs, movies,Nutrition, food, cooking,Medical related topics",Yes,No,NA,18-20,Freshman,Female,She/Her,20
2/28/2022 22:33,2/28/2022 22:38,IP Address,100,292,TRUE,2/28/2022 22:38,R_1kUirrSxgQDDOGj,anonymous,EN,0.899999976,I am over 18 years old and I consent to participating in this research project,About 5 times or more a day,Not at all unattractive,Not at all distressing,Never avoid,Not at all preoccupied,Slightly,Not at all,Not at all,Slightly,"Instagram,Facebook,Pinterest,YouTube",3 - 10 hrs/day,YouTube,"Music, songs, movies,Video games ,Technology and smartphones",No,No,NA,21-24,Junior,Female,she/her/hers,26
